Wavelength (nm),Point 1,Point 2,Point 3,Point 4,Point 5,Point 6,Point 7,Point 8,Point 9,Point 10,Point 11,Point 12,Point 13,Point 14,Point 15,Point 16,Point 17,Point 18,Point 19,Point 20,Point 21,Point 22,Point 23,Point 24,Point 25,Point 26,Point 27,Point 28,Point 29,Point 30,Point 31,Point 32,Point 33,Point 34,Point 35,Point 36,Point 37,Point 38,Point 39,Point 40,Point 41,Point 42,Point 43,Point 44,Point 45,Point 46,Point 47,Point 48,Point 49,Point 50,Point 51,Point 52,Point 53,Point 54,Point 55,Point 56,Point 57,Point 58,Point 59,Point 60,Point 61,Point 62,Point 63,Point 64,Point 65,Point 66,Point 67,Point 68,Point 69,Point 70,Point 71,Point 72,Point 73,Point 74,Point 75,Point 76,Point 77,Point 78,Point 79,Point 80,Point 81,Point 82,Point 83,Point 84,Point 85,Point 86,Point 87,Point 88,Point 89,Point 90,Point 91,Point 92,Point 93,Point 94,Point 95,Point 96,Point 97,Point 98,Point 99,Point 100,Point 101,Point 102,Point 103,Point 104,Point 105,Point 106,Point 107,Point 108,Point 109,Point 110,Point 111,Point 112,Point 113,Point 114,Point 115,Point 116,Point 117,Point 118,Point 119,Point 120,Point 121,Point 122,Point 123,Point 124,Point 125,Point 126,Point 127,Point 128
381.00558,0.022178907,0.023963783,0.035336446,0.022890648,0.032583058,0.029173052,0.019751249,0.027815735,0.025790913,0.009919057,0.025997052,0.026533745,0.008951205,0.012874434,0.02545769,0.03584861,0.029742127,0.03355139,0.03313103,0.033960972,0.020716004,0.028847545,0.019602366,0.015513522,0.016493991,0.019327158,0.033730004,0.020764641,0.035084367,0.025392907,0.024074508,0.023669846,0.028666941,0.023114696,0.021912323,0.028056607,0.023807485,0.024529004,0.025008822,0.029927671,0.03745814,0.03233272,0.025569407,0.026399324,0.027002182,0.021416726,0.033425093,0.027944705,0.02811186,0.023343999,0.027387917,0.021160888,0.03529878,0.023751717,0.021135077,0.028118363,0.022798622,0.025575588,0.028564604,0.028393101,0.022034377,0.024763823,0.012979407,0.025382347,0.026058013,0.024717439,0.027408078,0.028407196,0.013442914,0.025428534,0.029581642,0.0072039096,0.019047555,0.020804022,0.026202358,0.023345834,0.019607494,0.02275325,0.014411391,0.021825686,0.015708843,0.014883169,0.014883169,0.014639897,0.0149301225,0.025054941,0.014953348,0.014953348,0.01423451,0.02361044,0.024660517,0.024871543,0.025172867,0.021284984,0.023850989,0.027180308,0.02217323,0.022905698,0.018518122,0.024780782,0.025225174,0.026908174,0.029975181,0.021674484,0.020241918,0.021800805,0.019894736,0.019532615,0.01872515,0.021584587,0.023632577,0.02523523,0.025428824,0.020066952,0.01914747,0.019217065,0.017888775,0.02398226,0.015239333,0.016907409,0.020396242,0.018312333,0.016484736,0.016896956,0.016847512,0.01629839,0.016171534,0.016982779
388.4092,0.029042212,0.024845406,0.03731672,0.024348728,0.03408977,0.03066267,0.020917468,0.028989755,0.026709547,0.010713484,0.026964787,0.027604094,0.009987022,0.013941373,0.026355522,0.04239361,0.030934745,0.039655834,0.041144446,0.04159307,0.021259736,0.029699435,0.02016853,0.02008288,0.021597244,0.019948201,0.03582876,0.021552073,0.0363322,0.026569795,0.024590863,0.024406286,0.030131282,0.023724431,0.022402296,0.029390052,0.029460583,0.025395667,0.025799861,0.030629663,0.044052,0.038461942,0.026486978,0.027369635,0.032137334,0.021801924,0.035427645,0.03510096,0.029095693,0.024160082,0.028360413,0.028794054,0.03688451,0.024401817,0.022166783,0.02860975,0.023484545,0.025910376,0.029283518,0.028922562,0.022418465,0.025101207,0.013864941,0.028320186,0.031181639,0.02920175,0.03153485,0.0331953,0.015633123,0.029606642,0.030970933,0.00800904,0.025565865,0.026503962,0.03450661,0.028227752,0.020847896,0.023473432,0.014778443,0.023383474,0.015702598,0.014883476,0.014883476,0.014861577,0.015079399,0.026521545,0.01620694,0.01620694,0.014775065,0.025112059,0.025468884,0.025687248,0.025800144,0.021956947,0.029739462,0.02901462,0.02287024,0.023750283,0.019140026,0.02580183,0.02683682,0.028246326,0.03167776,0.02250864,0.020890143,0.02246101,0.020392416,0.020181209,0.019307807,0.02200202,0.024275284,0.026247365,0.025952533,0.021146853,0.019760609,0.019705335,0.018607244,0.024647418,0.016379591,0.01781725,0.021104166,0.019560616,0.017046766,0.017250884,0.017153675,0.0165369,0.016574534,0.017345786
395.81583,0.033084873,0.025734084,0.039292306,0.025815306,0.035591573,0.03215493,0.02209111,0.030173156,0.027653446,0.011517161,0.027945364,0.028679114,0.011024396,0.015012039,0.027261904,0.04770505,0.032145932,0.046320062,0.04616204,0.048312314,0.021822235,0.030567838,0.020753924,0.026936343,0.027037814,0.020566521,0.03793223,0.022355454,0.04082808,0.027753558,0.025135623,0.025153117,0.031623643,0.024347588,0.022913663,0.030733867,0.03496391,0.026285008,0.026602458,0.03134749,0.049675032,0.04399435,0.027426163,0.028350385,0.036748186,0.022196198,0.037436992,0.042632077,0.030094735,0.024974434,0.029349431,0.034011025,0.03848483,0.025046276,0.023196321,0.029117139,0.024188206,0.026270866,0.03002392,0.02945004,0.022831202,0.02545662,0.014751394,0.036018778,0.036361765,0.033236787,0.036465287,0.04003064,0.01782857,0.03610071,0.032374676,0.008821582,0.03201925,0.03307311,0.041312695,0.034725647,0.022094125,0.02420356,0.015166129,0.024955116,0.015710859,0.014890355,0.014890355,0.015076626,0.015243616,0.028015252,0.017482968,0.017482968,0.015319931,0.026629973,0.026289903,0.02651261,0.02644489,0.022629572,0.034421917,0.030848311,0.023560662,0.024614826,0.019776963,0.026836718,0.028450444,0.029600957,0.03339327,0.023339668,0.021544965,0.023136746,0.020907896,0.020825103,0.019903842,0.022422543,0.024925448,0.027268121,0.026486423,0.02222796,0.020378282,0.020195356,0.01932895,0.02532285,0.017523078,0.018734327,0.021824894,0.020816375,0.017606737,0.01761108,0.017465945,0.016788531,0.016986212,0.01771418
403.2254,0.03826887,0.026625102,0.041295245,0.027285872,0.03709965,0.033643603,0.023259765,0.031344324,0.02859142,0.012317894,0.02892623,0.029764669,0.012067668,0.016081149,0.028169973,0.05369766,0.033343125,0.051739965,0.05157188,0.052988954,0.022377266,0.031436965,0.021334777,0.032595046,0.033607755,0.021207804,0.04003466,0.023161268,0.04647632,0.02894349,0.025645984,0.02590598,0.033111576,0.024964066,0.023430685,0.032072302,0.040029425,0.027162373,0.027398301,0.03206102,0.055668607,0.049505558,0.028364561,0.029319437,0.042401582,0.022584293,0.039452977,0.049805272,0.031084463,0.025794284,0.030333575,0.041665554,0.040084746,0.025702553,0.02422912,0.029625084,0.02488486,0.02662822,0.03075726,0.02999104,0.023235265,0.025807012,0.01563334,0.040041234,0.041335467,0.036733575,0.042108245,0.044447258,0.02002131,0.03892822,0.033774473,0.009632997,0.0355091,0.0369642,0.04596908,0.03916457,0.023335576,0.024947422,0.01554335,0.026524754,0.015716825,0.014899002,0.014899002,0.015295309,0.015418908,0.029495372,0.018740742,0.018740742,0.015866864,0.02814587,0.027103502,0.027336163,0.02708526,0.023302438,0.03926614,0.032703694,0.02425861,0.025477223,0.020417858,0.027874324,0.030069185,0.030954164,0.035101276,0.024174849,0.022202002,0.023818456,0.021410199,0.02148058,0.02049778,0.022846537,0.025578402,0.028303653,0.027016489,0.023309449,0.02100017,0.020691799,0.020055614,0.025996223,0.018668301,0.01965524,0.02253881,0.02207298,0.018176442,0.017976739,0.017792867,0.017027719,0.017400287,0.018095182
410.638,0.04426813,0.02795882,0.04363629,0.02899668,0.03901706,0.03548074,0.02470918,0.03296533,0.030039994,0.013355314,0.030283416,0.031215217,0.013239775,0.017271815,0.029473117,0.061616335,0.03496593,0.05800636,0.058777317,0.059551623,0.023332274,0.032765914,0.022333523,0.039751448,0.040195175,0.022258896,0.042503398,0.024334813,0.052447297,0.030463835,0.026725551,0.02711666,0.0349299,0.02610936,0.024440076,0.033772063,0.045682795,0.02841048,0.028623959,0.0332106,0.061505493,0.056459416,0.029720591,0.030713534,0.047303222,0.023397643,0.041802056,0.060210075,0.03247383,0.027059318,0.03169633,0.05135392,0.042027127,0.026681984,0.025660882,0.030646669,0.02608377,0.027467815,0.03195691,0.03111533,0.02425653,0.026833128,0.016924338,0.045543183,0.047137674,0.04248635,0.046371378,0.04989453,0.022180071,0.04345449,0.035543144,0.010555949,0.041903526,0.0428123,0.05429614,0.04479578,0.024882013,0.026204892,0.01643361,0.028541042,0.016376296,0.015538028,0.015538028,0.016129328,0.016188044,0.031501986,0.0204514,0.0204514,0.016874872,0.03005672,0.028379487,0.02863863,0.028206497,0.024262335,0.04731504,0.03478731,0.025437864,0.026841631,0.021501869,0.029375069,0.03204444,0.032690708,0.037192687,0.025400944,0.023295267,0.024964381,0.022397447,0.022576636,0.021510355,0.023830285,0.026744898,0.029780252,0.028039986,0.024739133,0.021995205,0.021542873,0.021042338,0.027091656,0.019941518,0.020818623,0.023618674,0.023552818,0.019095585,0.018758424,0.018598227,0.017765641,0.018275991,0.018927105
418.0536,0.049262602,0.0296919,0.046324518,0.030937815,0.041335557,0.0376588,0.026410913,0.03498994,0.031854108,0.014541895,0.031967275,0.032979324,0.014479006,0.01860601,0.031105151,0.06657304,0.03691746,0.063123435,0.06294074,0.06394852,0.024597265,0.034427267,0.023629745,0.044280507,0.044729903,0.023590492,0.04511985,0.025825044,0.057523105,0.032294247,0.028086463,0.028657211,0.03703275,0.027607668,0.025805272,0.0357814,0.05017154,0.030009747,0.03018201,0.034717266,0.06756263,0.061260052,0.03141762,0.032431956,0.051731568,0.024590421,0.044472538,0.07126066,0.034175538,0.028702317,0.03339652,0.060993187,0.04426248,0.028011309,0.027422547,0.032065175,0.027692346,0.028673049,0.033505715,0.032720607,0.025638795,0.02821362,0.018488778,0.05123715,0.05239055,0.04664367,0.050900783,0.05495549,0.024343103,0.04768265,0.0376555,0.011500222,0.046256486,0.047861546,0.06018377,0.049904115,0.02670933,0.02793036,0.017720075,0.030832596,0.017527893,0.016653478,0.016653478,0.017407557,0.017419795,0.033936035,0.022447212,0.022447212,0.01821319,0.032356545,0.03008877,0.030371418,0.029778667,0.025507683,0.05206705,0.03719911,0.02703663,0.028651726,0.022979328,0.0312631,0.034349546,0.03472119,0.03963881,0.026989779,0.024775818,0.026525099,0.023811739,0.024056692,0.022946985,0.025276732,0.028365595,0.031654086,0.02952666,0.026485482,0.023357151,0.022747405,0.022305803,0.02856338,0.021379892,0.022241596,0.02502231,0.025253298,0.020324579,0.019905293,0.019837469,0.018912086,0.019543307,0.02015318
425.47214,0.052573055,0.031666204,0.049244486,0.032976765,0.043899566,0.04000658,0.028236272,0.037214227,0.03381624,0.015616829,0.033874173,0.03494672,0.0155256735,0.019883089,0.03290292,0.07161065,0.039043147,0.06746196,0.06743812,0.068314575,0.026015244,0.036254887,0.025068004,0.04928627,0.049410988,0.025036544,0.047700927,0.027478809,0.060987204,0.034281004,0.029476073,0.030366138,0.039248463,0.029219475,0.027286377,0.037976276,0.053339135,0.0318058,0.031915918,0.036441613,0.07069564,0.06552454,0.033314228,0.034360625,0.054128964,0.026030337,0.047320407,0.083092,0.036066588,0.030493548,0.035283577,0.07042018,0.046666887,0.02953465,0.029286094,0.033679195,0.02946378,0.030103391,0.03526136,0.03453672,0.027162071,0.029695213,0.020088162,0.05524596,0.05578712,0.04923119,0.05467708,0.05911698,0.026359085,0.051251337,0.039980434,0.012195083,0.050561357,0.050981697,0.066591084,0.053600617,0.028649699,0.029955568,0.019201083,0.03316265,0.018951762,0.018047119,0.018047119,0.018933065,0.01893411,0.036619347,0.02448515,0.02448515,0.019657934,0.03483739,0.032039683,0.03232026,0.031592198,0.026906125,0.056828897,0.03987656,0.02885474,0.030710915,0.024622219,0.03331332,0.036807384,0.036886018,0.042199485,0.028754314,0.026494762,0.02831724,0.025464933,0.025758708,0.024622416,0.027019791,0.030250074,0.03374493,0.031275563,0.02836449,0.024888288,0.024153844,0.02370039,0.030203601,0.022854568,0.023787217,0.026551185,0.027006663,0.021700002,0.021252356,0.021308621,0.020282691,0.021024255,0.021624587
432.8927,0.054685377,0.033704113,0.0522442,0.03499856,0.04652767,0.042379633,0.030016877,0.039442655,0.035650812,0.016521573,0.035784896,0.03690558,0.01638717,0.021090206,0.034646716,0.0740079,0.04111713,0.0702743,0.069690876,0.07207078,0.027371895,0.038036462,0.026419837,0.05099215,0.05135477,0.026380626,0.05009443,0.02909122,0.062527575,0.0362531,0.030660918,0.031965204,0.041431047,0.030651467,0.02865628,0.04018462,0.055462223,0.033615213,0.03360312,0.03815336,0.07458506,0.0685271,0.035174873,0.036250085,0.05527053,0.027509263,0.0502044,0.09245839,0.037893225,0.03225549,0.037171107,0.078046754,0.04906991,0.03109824,0.031097477,0.035222422,0.031160168,0.031522606,0.036982767,0.036331274,0.028446594,0.030936543,0.021522783,0.057176292,0.058311734,0.050540622,0.05639277,0.061896335,0.028263345,0.052531235,0.04236804,0.012632654,0.05369828,0.053787544,0.07118183,0.05560665,0.030591711,0.032048784,0.02066182,0.03535927,0.020355871,0.019430857,0.019430857,0.020438433,0.020433871,0.039356176,0.026389286,0.026389286,0.020969696,0.03734504,0.03403986,0.0343116,0.033465292,0.028351886,0.05964666,0.042782772,0.0306851,0.032781467,0.026227664,0.035316847,0.03928505,0.03900291,0.04473329,0.03053609,0.028222077,0.030117221,0.027157405,0.027517758,0.026361903,0.028818533,0.032191746,0.03585908,0.033138257,0.030220479,0.02644332,0.02562516,0.025121868,0.031859856,0.024310965,0.025353406,0.028041178,0.028723834,0.023041278,0.022610612,0.022780547,0.021651495,0.022516266,0.023097053
440.31726,0.057263352,0.035461735,0.05490288,0.03681016,0.048822355,0.044420574,0.031616036,0.041353267,0.03718302,0.017319527,0.037414014,0.038562227,0.017152987,0.022190394,0.036096133,0.0782638,0.042889588,0.07462417,0.07305175,0.07525164,0.028479965,0.039509293,0.027515532,0.05389785,0.054086935,0.027443815,0.05202438,0.030477405,0.065519586,0.037955105,0.03149767,0.033307914,0.04331318,0.03176971,0.02973846,0.04210983,0.057636015,0.035147857,0.034976296,0.039556745,0.07879672,0.07110405,0.036743283,0.037853904,0.05709304,0.028756296,0.05274089,0.10228445,0.039426755,0.03377425,0.03875549,0.08623806,0.051142924,0.032447204,0.032673087,0.03644877,0.03257831,0.03265512,0.038391255,0.03779347,0.029429253,0.031802237,0.022741862,0.060590383,0.06095763,0.053678542,0.058439713,0.06448238,0.030010665,0.054648068,0.044467114,0.013000378,0.05699546,0.057583094,0.075979896,0.059921544,0.03231367,0.033858974,0.02189201,0.037262857,0.021500459,0.020560035,0.020560035,0.021664834,0.021661462,0.04172997,0.028073484,0.028073484,0.022061877,0.039568402,0.03577498,0.036027677,0.035079975,0.029615104,0.062918924,0.045555227,0.0322309,0.034562837,0.027591465,0.03704912,0.041489843,0.040833898,0.04698343,0.032075554,0.029720608,0.031682502,0.02861262,0.029034117,0.027882429,0.030346619,0.03386973,0.037685905,0.03473004,0.031832434,0.027789323,0.026887704,0.026372053,0.03326412,0.025610136,0.026737954,0.029324282,0.030225849,0.02421297,0.023784919,0.024032481,0.022810217,0.023794973,0.02436379
447.7428,0.059494026,0.037183996,0.05743571,0.038545787,0.051016573,0.046381343,0.03316034,0.043177143,0.038622756,0.018069804,0.03900154,0.040149592,0.017849052,0.023258632,0.03748144,0.08144757,0.044559397,0.077632576,0.07635512,0.0778624,0.029575542,0.04093761,0.028585887,0.05674853,0.05660442,0.028508563,0.05379473,0.03180079,0.06739017,0.039600804,0.032280196,0.034564506,0.04511329,0.03281972,0.030784417,0.043966264,0.0592914,0.03664913,0.036308568,0.04093578,0.08198263,0.07480324,0.038244117,0.03940887,0.058671203,0.030017953,0.055143453,0.112129815,0.040909532,0.035215437,0.04029098,0.09492001,0.053113118,0.0337619,0.03419414,0.037645973,0.03394013,0.0337702,0.039761897,0.03920897,0.030342082,0.032640383,0.023930537,0.06304368,0.06372256,0.055869624,0.060734697,0.0669716,0.031597618,0.05619861,0.04649286,0.013274979,0.060902826,0.060705967,0.08091633,0.06311137,0.034026854,0.035662506,0.023120673,0.039052106,0.022671012,0.021714794,0.021714794,0.02289299,0.022896657,0.044065878,0.029622152,0.029622152,0.02314556,0.041739862,0.037498165,0.037724163,0.036703017,0.030855738,0.06650111,0.048283227,0.033789087,0.03633868,0.028978324,0.03874334,0.04361291,0.042592607,0.049150746,0.033633377,0.031234967,0.033276126,0.030092305,0.030574765,0.029436385,0.031888522,0.03556521,0.03949477,0.036342595,0.033424273,0.02916321,0.028164243,0.027635358,0.034691222,0.026860205,0.028098669,0.030622488,0.03170086,0.025413245,0.025022032,0.02535011,0.024033379,0.025129825,0.025687972
455.17035,0.062599525,0.038883682,0.05981755,0.04016711,0.053108852,0.0482411,0.034581568,0.044819593,0.03994425,0.018666722,0.040511366,0.041703336,0.018317575,0.024127493,0.038792796,0.085885264,0.04609346,0.079950996,0.07947566,0.08121502,0.03058927,0.042288687,0.029538292,0.06084075,0.059739538,0.029453205,0.055696253,0.032974735,0.07032655,0.04109503,0.032997232,0.03568415,0.046832968,0.033749722,0.031673633,0.045700952,0.06288327,0.038042642,0.037578855,0.042272307,0.08574595,0.07749543,0.039638273,0.04083354,0.060691036,0.031156173,0.057420406,0.121568084,0.04228982,0.036476634,0.041757785,0.102752976,0.055023536,0.03492483,0.03553763,0.03877326,0.035114467,0.034825426,0.041065503,0.04051052,0.03114429,0.03334386,0.024993915,0.06656427,0.06745518,0.058185313,0.063714124,0.07039755,0.032871895,0.058349174,0.04848482,0.01325939,0.06381459,0.06400814,0.08562611,0.06667941,0.0356981,0.03750608,0.02431147,0.04064956,0.023875095,0.022917964,0.022917964,0.024109125,0.024133109,0.046489544,0.031062935,0.031062935,0.024107942,0.043939088,0.039205562,0.03937063,0.038300548,0.032068823,0.071048886,0.05086364,0.035314146,0.03799071,0.030271618,0.04027255,0.045658562,0.04432923,0.05111162,0.0351905,0.032721225,0.034848284,0.031578325,0.03212455,0.030951843,0.033492304,0.037285678,0.04130979,0.037973765,0.034979135,0.030513685,0.029408673,0.028842365,0.036144994,0.028011097,0.029386105,0.03191399,0.033149146,0.02655449,0.026232762,0.026650077,0.025225332,0.026434219,0.026971923
462.59888,0.06469378,0.040393632,0.061969247,0.041546166,0.05498537,0.049889456,0.03571791,0.046166774,0.04102027,0.019012852,0.04177118,0.0430137,0.018508647,0.024711728,0.039834525,0.08941489,0.047321327,0.08268589,0.0816027,0.08359433,0.031337194,0.043419052,0.030186377,0.06231518,0.06308367,0.030089442,0.057614654,0.033804566,0.071904026,0.042318765,0.0335122,0.036468398,0.04839147,0.034365382,0.032255325,0.047193263,0.06518113,0.03916375,0.038602058,0.043423317,0.088427134,0.080560766,0.040714256,0.041960992,0.062062994,0.031990007,0.059473954,0.13041228,0.04343295,0.037414372,0.04300182,0.11079991,0.056744568,0.035776917,0.03656809,0.039685972,0.03591973,0.035623007,0.04212865,0.04153611,0.03158315,0.03367183,0.02573838,0.069506764,0.06920863,0.059974413,0.06647584,0.074210554,0.033711124,0.060724456,0.050317943,0.01297204,0.065758005,0.06583668,0.089713134,0.06878003,0.037158918,0.039222587,0.025273664,0.04193564,0.024934437,0.023960896,0.023960896,0.025113441,0.025180573,0.048795037,0.03220435,0.03220435,0.024814727,0.045994874,0.040741354,0.040823106,0.03971628,0.03317913,0.073978,0.053183965,0.03659474,0.039323486,0.03126137,0.04150166,0.047458254,0.045852177,0.052694276,0.03657801,0.033963997,0.03620276,0.03285563,0.033500172,0.03223378,0.034946524,0.038851712,0.04296589,0.039491046,0.036355074,0.031661045,0.030478865,0.029871188,0.03742611,0.028954938,0.0304494,0.033007856,0.03445114,0.027430253,0.027208896,0.027713107,0.026187386,0.02748085,0.027982391
470.0304,0.066833615,0.041722406,0.06383147,0.042726234,0.056613494,0.051305678,0.036678653,0.047270823,0.04187474,0.019289356,0.042839643,0.044109784,0.018631715,0.025195207,0.04069317,0.09304314,0.048346177,0.08547336,0.08363776,0.08610801,0.031951312,0.044343337,0.030696586,0.0657592,0.065960266,0.030595073,0.059282735,0.03447925,0.073193535,0.043346856,0.033887353,0.0371057,0.049727038,0.034862913,0.032710392,0.04842344,0.06704068,0.040096477,0.03944435,0.044385515,0.09116466,0.08287891,0.04161323,0.042920843,0.063646294,0.032690026,0.061238006,0.13965593,0.04438695,0.038194902,0.044050798,0.11913735,0.05824842,0.03648308,0.037423104,0.04043412,0.036604352,0.03629392,0.043035123,0.042413797,0.031912886,0.03389075,0.026303966,0.07266224,0.07286461,0.062248792,0.06819093,0.07643918,0.034342583,0.062442876,0.05189388,0.012675891,0.06807405,0.068260424,0.09510254,0.070639804,0.03841498,0.040712085,0.026077354,0.043001954,0.025830075,0.024853654,0.024853654,0.025962695,0.026073609,0.050802633,0.03313084,0.03313084,0.025385799,0.047803324,0.04208421,0.042066265,0.040937264,0.03415587,0.077494435,0.055216584,0.037690274,0.04044668,0.03212097,0.042569228,0.049042273,0.04716485,0.054081094,0.037770666,0.035030484,0.03736058,0.03395451,0.03468821,0.03335587,0.036224846,0.04022213,0.044395994,0.040815253,0.03754482,0.03264213,0.03139767,0.030768089,0.03854886,0.029741624,0.03135878,0.03395519,0.035571665,0.02815496,0.028049001,0.028624333,0.027006438,0.028381513,0.028861593
477.46292,0.06911577,0.042800687,0.065418184,0.043796573,0.057937853,0.05250593,0.03758374,0.048191555,0.042544838,0.019623721,0.04372624,0.045061234,0.018890658,0.025728498,0.04141532,0.09546942,0.049238186,0.08704194,0.08510836,0.088388026,0.03248281,0.045165595,0.031148251,0.068658814,0.06827574,0.031061813,0.060706023,0.03513005,0.07455432,0.04427402,0.034181524,0.03767961,0.050856072,0.03528882,0.033136543,0.04949832,0.06871,0.040893618,0.040132392,0.045201417,0.09332803,0.08486828,0.04239616,0.043765377,0.065457895,0.033267546,0.062743366,0.14797589,0.04524077,0.038911194,0.04493927,0.12627429,0.05957168,0.037076265,0.038232666,0.041031044,0.037210423,0.036855042,0.043795727,0.043126337,0.032216642,0.034144465,0.026881184,0.075245574,0.074978665,0.06357615,0.07068337,0.07938782,0.03495521,0.064602055,0.05320613,0.012637364,0.07009745,0.0707243,0.100090496,0.07283301,0.039550867,0.04190569,0.026738895,0.04397077,0.02650364,0.025524396,0.025524396,0.026617102,0.026734209,0.052453537,0.033924837,0.033924837,0.025868906,0.04932102,0.04316494,0.04308637,0.04193735,0.03496847,0.080990516,0.05712251,0.038610294,0.04140966,0.03288825,0.043492146,0.050422862,0.048298042,0.055377193,0.03878946,0.035940964,0.038362954,0.03484714,0.03569042,0.034276664,0.037217952,0.04133791,0.04557182,0.0418529,0.038570087,0.03348458,0.032120783,0.03155372,0.039530486,0.030418975,0.032101292,0.03481729,0.036580544,0.028798271,0.028779984,0.029397687,0.027718915,0.029155096,0.029627912
484.89743,0.07152571,0.044187028,0.0679251,0.045840476,0.05964473,0.052579876,0.038060226,0.04835395,0.042202286,0.022776628,0.04341687,0.045021348,0.022309281,0.029485391,0.04090233,0.09944906,0.048922528,0.090692736,0.0888681,0.09044272,0.032575477,0.045494754,0.030809786,0.072242655,0.071419634,0.031060623,0.060353916,0.034783043,0.076797925,0.044029698,0.033816382,0.036902662,0.052676808,0.034386154,0.032253347,0.050869346,0.071385086,0.04131779,0.039862745,0.044495635,0.09682031,0.08747617,0.042911083,0.043301105,0.06809863,0.033902366,0.06604536,0.15691589,0.044658795,0.0395945,0.04507177,0.13438861,0.059541006,0.037709717,0.039314914,0.0396193,0.037685428,0.036193546,0.04318026,0.043153197,0.03138356,0.033245414,0.029606016,0.07929182,0.07847462,0.06536541,0.07324634,0.08189174,0.038133767,0.0670406,0.055931944,0.014963179,0.07353752,0.07413388,0.10516728,0.07620805,0.041394357,0.043485682,0.027523763,0.045713566,0.027477521,0.026287705,0.026287705,0.027136391,0.027533673,0.054041892,0.036210462,0.036210462,0.027247848,0.05208147,0.045095555,0.04428002,0.043514214,0.036735285,0.08509499,0.059816338,0.039899778,0.041966904,0.03438274,0.04432114,0.05227807,0.050033577,0.057143282,0.04040279,0.037672326,0.039215486,0.03704707,0.036692034,0.036352634,0.03818562,0.04234923,0.047407165,0.04299462,0.039765783,0.035298854,0.03346464,0.03298041,0.040032785,0.033114128,0.033677306,0.035602495,0.037677318,0.030314786,0.030450067,0.030120319,0.028618665,0.030557362,0.030846111
492.33292,0.07341522,0.045383632,0.069671,0.0468053,0.060236115,0.053691063,0.03896827,0.049117047,0.042652886,0.022700356,0.04355431,0.045055836,0.022253063,0.030122628,0.041182972,0.10227237,0.05030196,0.09362162,0.09144064,0.093259126,0.03177964,0.04585865,0.030620918,0.07508432,0.073779166,0.03108202,0.061509866,0.034662426,0.07815479,0.04440317,0.033064608,0.037162036,0.05356736,0.03414338,0.03152359,0.051699948,0.073230185,0.0416821,0.039783534,0.045189504,0.09977891,0.09037258,0.042281374,0.04362018,0.06961931,0.034583677,0.068018064,0.165065,0.044814978,0.040133465,0.04461445,0.14221448,0.06049581,0.03810523,0.0401655,0.040304378,0.037778616,0.03590195,0.04382642,0.042751554,0.030874768,0.032627292,0.029708767,0.081942335,0.080137335,0.06785516,0.07564363,0.084854476,0.03859166,0.06864572,0.05804586,0.014849668,0.07642504,0.07712921,0.1103343,0.07878204,0.042717177,0.044392757,0.02785917,0.046114534,0.027736591,0.026430508,0.026430508,0.027693367,0.027491031,0.05607281,0.036006287,0.036006287,0.027451089,0.0537618,0.045618035,0.045040645,0.043710146,0.036497332,0.088340454,0.06262398,0.040443517,0.042709116,0.034629777,0.044692967,0.053665012,0.050338104,0.0585208,0.04173254,0.037597254,0.04033745,0.03757141,0.037229456,0.037164483,0.039040063,0.04272311,0.048439983,0.043545872,0.04093511,0.035902902,0.033786044,0.033311427,0.040708534,0.033105824,0.034213472,0.035931524,0.038620505,0.030393774,0.030165527,0.030335763,0.029253064,0.030879505,0.030937316
499.77142,0.07674928,0.047207065,0.072450854,0.048786387,0.06320577,0.056159984,0.040419493,0.05088882,0.044064056,0.023861205,0.045726035,0.04756016,0.023386888,0.03181269,0.04250152,0.106710725,0.05112522,0.09691602,0.09429589,0.09746383,0.033298787,0.047240913,0.0322654,0.07846977,0.07757006,0.032468732,0.064704955,0.03580679,0.08078376,0.046274688,0.034648143,0.038275454,0.056112528,0.03452696,0.032677025,0.05383081,0.07604988,0.043163415,0.041687246,0.04670398,0.10357946,0.09468486,0.04458596,0.044875607,0.07208968,0.035766114,0.070318945,0.17400117,0.04645022,0.04126245,0.046857852,0.1500052,0.06287939,0.039091278,0.041622248,0.041530907,0.039075855,0.037526935,0.044718813,0.044826075,0.03217616,0.033226993,0.031102246,0.0861171,0.084528595,0.07146244,0.07912517,0.08895498,0.041164696,0.072295316,0.060594313,0.01556413,0.08141607,0.08157723,0.11547539,0.08354431,0.044520292,0.046834845,0.029641857,0.048816595,0.029642984,0.028342487,0.028342487,0.029215595,0.029515631,0.05888383,0.038039077,0.038039077,0.028406577,0.056552716,0.04827295,0.047121756,0.046323355,0.037976544,0.09299156,0.065693535,0.042809702,0.04502406,0.03664209,0.04686994,0.056489844,0.052716948,0.061197598,0.04377511,0.039181706,0.04258655,0.039630715,0.039109956,0.038536888,0.041567918,0.045053493,0.05089724,0.0458164,0.042649716,0.037680827,0.035841495,0.034916595,0.043060075,0.035105877,0.035585042,0.03772078,0.03998845,0.032263394,0.032254275,0.03290297,0.030868195,0.03324189,0.032859936
