Wavelength (nm),Point 1,Point 2,Point 3,Point 4,Point 5,Point 6,Point 7,Point 8,Point 9,Point 10,Point 11,Point 12,Point 13,Point 14,Point 15,Point 16,Point 17,Point 18,Point 19,Point 20,Point 21,Point 22,Point 23,Point 24,Point 25,Point 26,Point 27,Point 28,Point 29,Point 30,Point 31,Point 32,Point 33,Point 34,Point 35,Point 36,Point 37,Point 38,Point 39,Point 40,Point 41,Point 42,Point 43,Point 44,Point 45,Point 46,Point 47,Point 48,Point 49,Point 50,Point 51,Point 52,Point 53,Point 54,Point 55,Point 56,Point 57,Point 58,Point 59,Point 60,Point 61,Point 62,Point 63,Point 64,Point 65,Point 66,Point 67,Point 68,Point 69,Point 70,Point 71,Point 72,Point 73,Point 74,Point 75,Point 76,Point 77,Point 78,Point 79,Point 80,Point 81,Point 82,Point 83,Point 84,Point 85,Point 86,Point 87,Point 88,Point 89,Point 90,Point 91,Point 92,Point 93,Point 94,Point 95,Point 96,Point 97,Point 98,Point 99,Point 100,Point 101,Point 102,Point 103,Point 104,Point 105,Point 106,Point 107,Point 108,Point 109,Point 110,Point 111,Point 112,Point 113,Point 114,Point 115,Point 116,Point 117,Point 118,Point 119,Point 120,Point 121,Point 122,Point 123,Point 124,Point 125,Point 126,Point 127,Point 128,Point 129,Point 130,Point 131,Point 132,Point 133,Point 134,Point 135,Point 136,Point 137,Point 138,Point 139,Point 140,Point 141,Point 142,Point 143,Point 144,Point 145,Point 146,Point 147,Point 148,Point 149,Point 150,Point 151,Point 152,Point 153,Point 154,Point 155,Point 156,Point 157,Point 158,Point 159,Point 160,Point 161,Point 162,Point 163,Point 164,Point 165,Point 166,Point 167,Point 168,Point 169,Point 170,Point 171,Point 172,Point 173,Point 174,Point 175,Point 176
381.00558,0.03199299,0.03323737,0.026921041,0.022163853,0.028808037,0.026472585,0.028466739,0.02453755,0.024020484,0.033286218,0.0349997,0.023548814,0.024592305,0.032718856,0.032523908,0.024276206,0.03448015,0.022521963,0.025663132,0.031462174,0.02544236,0.025473837,0.03360228,0.03234191,0.026798492,0.03440377,0.016892849,0.025989743,0.029366186,0.023605116,0.019819295,0.029575126,0.029376976,0.030816918,0.022754082,0.02853534,0.025928328,0.032069795,0.034823865,0.032575943,0.03006706,0.030794503,0.028996618,0.025638107,0.026873866,0.028569961,0.027052348,0.031345516,0.03603359,0.026712544,0.02766094,0.02704688,0.035190526,0.026634293,0.033553965,0.033747893,0.032038953,0.03462739,0.029503757,0.021913974,0.02662435,0.022267062,0.026849523,0.025942644,0.026149994,0.023784164,0.031035865,0.02672174,0.020890454,0.031938184,0.032181233,0.034619287,0.025429487,0.026877843,0.024207968,0.019321758,0.024492562,0.02176326,0.026197597,0.026415756,0.02353882,0.031488184,0.026104013,0.028787669,0.026443638,0.02896377,0.02371888,0.024963524,0.03514219,0.030249665,0.028846778,0.03131354,0.031006852,0.03432606,0.02832335,0.035292007,0.033277057,0.029235708,0.024063943,0.026150687,0.036343925,0.027219214,0.03567156,0.027232023,0.027943587,0.032082062,0.036546297,0.037763458,0.031202555,0.030307043,0.031439554,0.028823055,0.02692291,0.044980355,0.026146432,0.04488795,0.031334378,0.044490866,0.031709727,0.02966948,0.024505671,0.028635945,0.025693562,0.03562545,0.032260623,0.028360005,0.028349068,0.01816261,0.028536888,0.016483393,0.042798266,0.04383077,0.038125865,0.0339733,0.033400882,0.033612713,0.030233392,0.03936387,0.026287744,0.026302738,0.027474862,0.024579369,0.022875287,0.029200532,0.02983194,0.023037119,0.029069658,0.027564459,0.030616086,0.034133334,0.040111855,0.029776493,0.039400883,0.033738356,0.036338106,0.030966714,0.020412488,0.023332871,0.025145933,0.029074378,0.031949867,0.019256033,0.02026366,0.022159489,0.027001314,0.028154813,0.028571725,0.034441657,0.03599768,0.02421147,0.02267318,0.02550563,0.022759844,0.021199033,0.036154103,0.036003474
388.4092,0.03359704,0.03514688,0.03411623,0.023136567,0.03449209,0.027285129,0.032252867,0.02784986,0.029098768,0.03561389,0.03703357,0.024771444,0.025813678,0.034106523,0.03484203,0.025803009,0.037048753,0.027906446,0.02676661,0.03338697,0.026805555,0.02706362,0.034930993,0.03388505,0.028048022,0.036759514,0.017865434,0.027513016,0.031163476,0.024960238,0.021143848,0.031342063,0.030862963,0.03234522,0.02333924,0.030292846,0.027231066,0.034317013,0.036763974,0.034472372,0.0317264,0.032671936,0.033981107,0.032714516,0.028769918,0.030310547,0.028448105,0.03332092,0.037964616,0.028123118,0.029406339,0.028368061,0.03699956,0.027516223,0.035183467,0.035554312,0.03399607,0.036117323,0.031124698,0.023307841,0.028014503,0.02359617,0.027954493,0.027777988,0.027370768,0.024339331,0.032691672,0.028069004,0.021938045,0.033913154,0.033606578,0.03651699,0.026730217,0.032138206,0.025497492,0.020385226,0.025527637,0.02763964,0.02762619,0.027579583,0.02447757,0.03976002,0.027019033,0.029954584,0.030530686,0.030333353,0.03103184,0.03343929,0.03669961,0.032007374,0.03035647,0.032950487,0.033032767,0.035692208,0.028882379,0.036894664,0.03523919,0.032077275,0.02774838,0.029355306,0.037772987,0.028061492,0.037671655,0.028486025,0.03377899,0.03376132,0.038654167,0.039538994,0.032254957,0.03619066,0.033545434,0.029902205,0.02767348,0.047027547,0.02690277,0.046912525,0.032902263,0.046253335,0.033318467,0.031149747,0.025464382,0.03005038,0.026451616,0.036760945,0.033842698,0.029763682,0.029672593,0.019135857,0.029958945,0.01727328,0.047296062,0.04951739,0.04184852,0.037663464,0.037220255,0.03526563,0.03205825,0.045755856,0.026893042,0.027207784,0.028821925,0.025546366,0.023942161,0.030771753,0.03161983,0.024114616,0.030745316,0.028565204,0.032096848,0.039195996,0.04215917,0.031111592,0.04093006,0.034728322,0.03777871,0.03218732,0.021116138,0.024679303,0.026441267,0.0309017,0.03356341,0.019816564,0.02159739,0.02253299,0.028421411,0.028989587,0.033978455,0.040062446,0.038167,0.025375122,0.02674269,0.026926339,0.02345272,0.021442872,0.0373365,0.037289977
395.81583,0.03520502,0.037059292,0.039959338,0.024111068,0.039300706,0.02810019,0.0365603,0.035396054,0.03563218,0.03794482,0.03907787,0.0259918,0.027028536,0.035490498,0.037169576,0.02733724,0.03961483,0.03306659,0.027869834,0.035317846,0.028169718,0.028655907,0.036255613,0.035431378,0.029305642,0.03912105,0.018838037,0.029042045,0.032972515,0.026316585,0.022471378,0.03311393,0.032351974,0.03387192,0.023925127,0.032057177,0.028549919,0.03657789,0.03870371,0.036383215,0.033394873,0.034546435,0.040566303,0.03975833,0.030671384,0.03205961,0.029843047,0.03529532,0.039901715,0.029541664,0.03116141,0.029687174,0.038815454,0.028396102,0.03681252,0.037365288,0.03596643,0.037615847,0.03275538,0.024703743,0.029410157,0.024934258,0.029059784,0.029611787,0.02859789,0.024894742,0.034344442,0.029412948,0.022987198,0.035898354,0.035038747,0.038420968,0.028037382,0.036801778,0.026793653,0.021456586,0.026562687,0.0338146,0.029058821,0.028750097,0.025419673,0.048406545,0.027938075,0.03112288,0.037391257,0.031714726,0.037037555,0.0405732,0.038261645,0.033757966,0.031870786,0.034594662,0.037754633,0.037059803,0.029449398,0.038502343,0.037211154,0.037728317,0.03255203,0.035350807,0.039209493,0.028910076,0.042092554,0.029747356,0.04096945,0.03544752,0.044398252,0.041322507,0.03331443,0.0386012,0.035645895,0.03098809,0.02842846,0.049083397,0.02766549,0.048938297,0.034477685,0.048022408,0.03493972,0.032638866,0.02642615,0.031468518,0.027212627,0.037900854,0.035421524,0.031167615,0.03100004,0.020116175,0.03138586,0.01806472,0.05206719,0.054119125,0.046069566,0.041895606,0.043542624,0.036923565,0.033887498,0.0500175,0.027502175,0.02811463,0.030172946,0.026524229,0.025015315,0.032348577,0.033419393,0.025198903,0.03241901,0.029565943,0.033578824,0.043884564,0.044206496,0.03244297,0.042455114,0.035727378,0.039225582,0.033407673,0.021819072,0.026029289,0.027740605,0.032737356,0.0351791,0.020384267,0.022927215,0.022914091,0.02984197,0.029833507,0.037440266,0.044867516,0.044427708,0.026547814,0.032251265,0.028359087,0.024147578,0.021690004,0.03852083,0.03857928
403.2254,0.03681149,0.038974386,0.045344964,0.02508826,0.044478334,0.028918425,0.040722724,0.038241,0.03994721,0.04028256,0.041126646,0.027209494,0.028253114,0.036880445,0.03950355,0.028870763,0.0421823,0.03759305,0.028972518,0.03724922,0.029540619,0.030249655,0.037591174,0.03698336,0.030552736,0.041487984,0.019820942,0.030574229,0.034777246,0.02766908,0.023799518,0.034887973,0.033845834,0.035403963,0.024514992,0.033826377,0.029860944,0.03883716,0.04065066,0.038283378,0.035056654,0.036428455,0.045974605,0.045480054,0.03257674,0.03380694,0.03123719,0.037276167,0.04183561,0.030961033,0.032918543,0.03101383,0.040620975,0.02927547,0.03844769,0.03917102,0.037925504,0.039115604,0.03437846,0.026103098,0.030800456,0.026272096,0.030169317,0.031445455,0.029822838,0.02544998,0.035998043,0.030768631,0.024042595,0.03787858,0.036476362,0.040328827,0.029341359,0.04123823,0.028097985,0.022524208,0.027599135,0.038430184,0.030487942,0.029920321,0.026361473,0.053560916,0.02885673,0.032295775,0.042362217,0.033094853,0.042664,0.045847423,0.039822195,0.035516117,0.033391397,0.036241736,0.043708015,0.038428362,0.030007627,0.040110186,0.039181896,0.04196149,0.0376278,0.038600825,0.04063678,0.029755877,0.04572859,0.031007228,0.04451137,0.037135623,0.04739177,0.04310651,0.03436737,0.043004792,0.03775368,0.032070294,0.029183779,0.051140685,0.028423836,0.050965346,0.03605926,0.0497912,0.03655759,0.03412338,0.027384996,0.0328808,0.02797767,0.039039288,0.03700416,0.03257198,0.032324538,0.021096146,0.032817323,0.01886312,0.056675725,0.057463065,0.05152258,0.046785433,0.047383215,0.038583793,0.035708223,0.053669248,0.028112011,0.02902237,0.03152101,0.027494432,0.02609209,0.033923723,0.035211418,0.02627887,0.034095284,0.030570533,0.03506603,0.048402272,0.046249893,0.033784457,0.043985225,0.03672584,0.04067102,0.03463194,0.02252459,0.02737917,0.029042995,0.034567587,0.036799904,0.020949958,0.024265109,0.023296017,0.031269416,0.030671628,0.039440818,0.05127864,0.047574397,0.027716758,0.038114853,0.02979042,0.024843665,0.021937367,0.03971372,0.0398694
410.638,0.038678885,0.041214593,0.051202774,0.02635877,0.05100114,0.030008754,0.046177965,0.043909613,0.04557628,0.04288615,0.0434774,0.028726755,0.029793698,0.03859434,0.042104375,0.030688277,0.045054596,0.042898092,0.030393174,0.03945186,0.03115609,0.03214106,0.039257243,0.03884149,0.03212646,0.04412109,0.021097697,0.032428462,0.03686511,0.029348494,0.025396068,0.0369682,0.03562521,0.037221644,0.025434442,0.035862874,0.03147833,0.041357696,0.042940572,0.040471062,0.03706979,0.038623888,0.0531084,0.05228168,0.034770943,0.035823032,0.032963157,0.03957583,0.044143237,0.032713283,0.034940686,0.032700103,0.042779308,0.030455345,0.04041362,0.041321415,0.040206663,0.04094932,0.036342226,0.027721703,0.032489244,0.02783669,0.031574268,0.033581555,0.031373635,0.026340764,0.037944,0.032395888,0.025358384,0.040160656,0.038237482,0.042546928,0.030892123,0.047641136,0.029719852,0.02384324,0.02893518,0.043148287,0.03216101,0.03141015,0.02759261,0.060088187,0.030116802,0.033787962,0.04902685,0.03478569,0.048591156,0.051564496,0.04171101,0.037557814,0.035227597,0.03818464,0.047580723,0.0401502,0.031065902,0.04204956,0.041457202,0.046020955,0.04209172,0.043115724,0.042445328,0.030963952,0.050807636,0.03256348,0.049277302,0.039122533,0.05264028,0.04524464,0.035851866,0.048983242,0.040207237,0.03351176,0.03038492,0.05358312,0.029636718,0.053400513,0.038003277,0.05196148,0.038633224,0.03603274,0.028604623,0.03471619,0.029083168,0.04049995,0.038905032,0.034310415,0.033997964,0.022401689,0.034562085,0.019979484,0.061864972,0.06264313,0.056122433,0.05052938,0.051652636,0.040540874,0.037805274,0.059399385,0.02907996,0.030304095,0.033207916,0.02880458,0.02747156,0.035798006,0.037290692,0.027658997,0.03604172,0.031905778,0.03685507,0.052251875,0.048673995,0.035464596,0.045941167,0.038113125,0.042507924,0.036217336,0.023557084,0.028968846,0.030589396,0.03664034,0.038722828,0.021828944,0.025863705,0.024018835,0.0330085,0.03188387,0.045396328,0.056043804,0.053199295,0.029217841,0.04246254,0.031518105,0.0258825,0.022564698,0.041326825,0.041562375
418.0536,0.04087022,0.043779545,0.05742773,0.02791251,0.055752255,0.031419225,0.05137239,0.048904385,0.04931884,0.045749124,0.046109345,0.030547185,0.0316208,0.040612116,0.04499138,0.032843966,0.048227277,0.047489733,0.03211901,0.041930296,0.033014502,0.03430474,0.041296102,0.041043326,0.03401906,0.047115296,0.022676565,0.03462836,0.039253462,0.03135214,0.02729518,0.039383747,0.037677962,0.039371684,0.02668801,0.038217306,0.033425447,0.044160735,0.045495998,0.042930104,0.039377764,0.041155722,0.0589415,0.05778338,0.037333902,0.03813873,0.03505575,0.04219153,0.046766885,0.03483683,0.037257694,0.0348178,0.045211315,0.031927116,0.042686492,0.043769177,0.04283814,0.04309118,0.038639907,0.029590176,0.034476127,0.029643307,0.03326905,0.036061745,0.033261698,0.027600536,0.040167633,0.03430591,0.02693306,0.042730197,0.04032703,0.04505218,0.032677054,0.0514622,0.03165904,0.025409337,0.03057848,0.049489733,0.03406688,0.0331816,0.029129617,0.06700214,0.03172968,0.035563212,0.053199727,0.03678055,0.05482702,0.05839093,0.04391844,0.039866343,0.03741831,0.040408812,0.051575493,0.042168945,0.03258058,0.04428011,0.04407894,0.050297584,0.046471663,0.0469006,0.0445728,0.032517508,0.053993914,0.03441838,0.053586494,0.04144836,0.05707784,0.047682237,0.037741672,0.052364565,0.04296433,0.035265595,0.031994976,0.056347866,0.031265203,0.05617532,0.040278,0.054485653,0.04106734,0.038301077,0.030072462,0.036890227,0.03050986,0.042305894,0.041080046,0.036379352,0.036048885,0.023988595,0.036651142,0.021372672,0.06556312,0.06637262,0.059690353,0.054912366,0.054514296,0.042853847,0.040221736,0.06408774,0.03036297,0.031894334,0.03520609,0.03042759,0.029142827,0.037965905,0.03968071,0.029346399,0.038219012,0.03357453,0.038921442,0.05778165,0.05145751,0.03744431,0.0483094,0.039912883,0.04469559,0.038099594,0.024907054,0.03076208,0.03237793,0.038967367,0.040949788,0.0230111,0.027714621,0.025052335,0.03505253,0.033406995,0.04927616,0.06043885,0.056491196,0.030999376,0.047950372,0.03354314,0.027222602,0.023531977,0.043292243,0.043608285
425.47214,0.043276124,0.046531215,0.06090023,0.02964608,0.05892184,0.033043995,0.05395486,0.052882005,0.05258868,0.048737038,0.048896406,0.03257649,0.033621076,0.04278892,0.04806915,0.035207048,0.05156971,0.05083917,0.03404054,0.044540167,0.034995,0.036630653,0.043565672,0.043453798,0.036118466,0.050310384,0.024465192,0.037070617,0.041828133,0.033571344,0.029395869,0.04200374,0.039873715,0.041712724,0.028152518,0.040752,0.035598923,0.047131788,0.048168305,0.045529556,0.041842487,0.04390165,0.06408707,0.06233462,0.040159486,0.04063996,0.037391853,0.045002796,0.0495517,0.037216637,0.03972572,0.037232652,0.047747172,0.033574905,0.045114636,0.04636922,0.045688722,0.045410566,0.041166686,0.031588048,0.03667846,0.031582236,0.035125673,0.03880557,0.035368778,0.029114623,0.042545356,0.03639853,0.02866246,0.045444928,0.04260365,0.047713134,0.034595482,0.05385419,0.033772253,0.027107969,0.032412212,0.052288175,0.036088973,0.035088282,0.030851096,0.07066165,0.03357324,0.037463162,0.05714055,0.038939904,0.058988813,0.061760448,0.046310738,0.042285413,0.039810095,0.042782195,0.05333877,0.044365495,0.034404952,0.04664221,0.0469081,0.052084982,0.048881385,0.049663443,0.046840873,0.034304157,0.056497198,0.03645368,0.056945555,0.043985706,0.057992574,0.050257176,0.03989763,0.056195885,0.045905825,0.037214767,0.03391038,0.05925701,0.033210013,0.059121422,0.04275596,0.057177503,0.043729067,0.040796738,0.03167738,0.03930941,0.032118656,0.04430486,0.04337896,0.038640536,0.038341735,0.025767988,0.038951468,0.022954358,0.06795468,0.069251806,0.06247141,0.057173967,0.058390412,0.045406878,0.04283992,0.067633726,0.031819653,0.033640563,0.037389774,0.03223729,0.030983979,0.040325675,0.042253133,0.031215917,0.040506147,0.03546161,0.04114567,0.060226995,0.054459512,0.03958723,0.050941404,0.041995693,0.047073755,0.04013503,0.026496813,0.0326535,0.034307126,0.041405495,0.04332523,0.024402313,0.02973978,0.026280709,0.03731918,0.035097804,0.05174027,0.06380797,0.057667278,0.032953642,0.05134615,0.035753965,0.028724354,0.024720684,0.04543582,0.045845684
432.8927,0.04581359,0.049319066,0.06167406,0.03141467,0.06060677,0.0347863,0.05560994,0.054143213,0.054176264,0.051726993,0.05169698,0.03469946,0.03567829,0.044995,0.05120655,0.03769265,0.054938216,0.052755028,0.036026783,0.047181427,0.036979727,0.038972035,0.04596473,0.04596596,0.038286753,0.0536044,0.026331939,0.039632678,0.04447291,0.03588182,0.031595897,0.044679347,0.04210402,0.044162113,0.029704247,0.043392852,0.03788781,0.050148133,0.050754998,0.04816062,0.044264074,0.046735816,0.06606625,0.06551341,0.043163557,0.0432156,0.03987118,0.047877215,0.052303825,0.03973567,0.042262994,0.039831102,0.05023164,0.035265144,0.047543958,0.04894496,0.048644826,0.04774901,0.043764498,0.03360781,0.03892875,0.033535197,0.037030954,0.041680805,0.03755599,0.0307721,0.044972043,0.038551487,0.030419342,0.048163272,0.044964228,0.050383814,0.036537547,0.05663756,0.03592252,0.028805824,0.034318186,0.054994598,0.038115278,0.03700245,0.032641347,0.07370223,0.035522465,0.039395306,0.059730567,0.041147776,0.06137698,0.065815166,0.048749965,0.044701092,0.04226946,0.045171108,0.055079706,0.04657635,0.036357746,0.04897816,0.04982456,0.053773083,0.05080228,0.050761845,0.04909461,0.03616846,0.05618712,0.038563076,0.059270773,0.046618372,0.06046267,0.05280321,0.04212105,0.05675158,0.048830032,0.039188456,0.035917085,0.062126677,0.035244703,0.062039677,0.045236114,0.05984794,0.046388168,0.04328469,0.033303637,0.041752037,0.03377093,0.046379294,0.045649048,0.0409747,0.040749826,0.027578477,0.04133835,0.024568658,0.06861308,0.06924734,0.063338235,0.05847731,0.058899827,0.048089728,0.045569345,0.06850017,0.03329739,0.03536037,0.03960641,0.034104187,0.032870643,0.04274006,0.04489699,0.033131935,0.042774864,0.037402704,0.043370295,0.06171969,0.057501927,0.041737422,0.053668816,0.044202786,0.04946914,0.042163394,0.028160393,0.034516092,0.03624203,0.04388416,0.045725897,0.025856258,0.031796638,0.027557503,0.03964523,0.03680349,0.05246303,0.06497906,0.059407968,0.03491473,0.05305113,0.038022447,0.0302394,0.025950503,0.047584586,0.048108447
440.31726,0.04812581,0.05180078,0.063766666,0.032982558,0.062329873,0.036339674,0.057481267,0.0566485,0.05631471,0.05437597,0.054164063,0.036590613,0.03749837,0.046893883,0.054030754,0.03995338,0.05793009,0.054643523,0.037773978,0.049510382,0.038718104,0.04103618,0.048104256,0.048215564,0.040218186,0.05660173,0.028025027,0.0419692,0.04687306,0.037965517,0.033615343,0.047092896,0.044052664,0.046356644,0.031062575,0.045793246,0.039972372,0.05286197,0.05296528,0.05047108,0.04634239,0.049296916,0.06917277,0.068567,0.045934714,0.04553097,0.042114798,0.050436594,0.05466428,0.04201435,0.044542603,0.042195797,0.05232259,0.03673834,0.0496168,0.05116358,0.05133245,0.049763642,0.04606617,0.035420667,0.040941037,0.035280246,0.038695164,0.044329412,0.03951366,0.032265138,0.047110744,0.04046671,0.031981304,0.050555997,0.04703475,0.052697852,0.03822741,0.059000596,0.037822463,0.03031259,0.03600322,0.05627624,0.03988596,0.038650215,0.034235165,0.07876957,0.037250172,0.041050073,0.06171572,0.043090858,0.06489595,0.068219125,0.050870076,0.046807356,0.044465322,0.047249172,0.056583386,0.04845565,0.038033016,0.050968,0.05244594,0.05522045,0.05149977,0.05287372,0.050975513,0.03780196,0.057020552,0.040428866,0.060462616,0.048986882,0.061038896,0.054964654,0.044049125,0.05739383,0.051372673,0.040877923,0.037657447,0.06453717,0.037019856,0.06452021,0.04736856,0.06209286,0.048669584,0.04543287,0.03470901,0.04385947,0.035188466,0.04816658,0.047584046,0.043071833,0.04293089,0.029188024,0.043473087,0.025988061,0.0705314,0.069796614,0.065069824,0.060392022,0.061280504,0.050525516,0.048045963,0.06936951,0.034541696,0.036801446,0.0415593,0.035740856,0.034544602,0.04488255,0.047304593,0.034831945,0.04475968,0.039092246,0.04527764,0.06340061,0.06017174,0.043586414,0.056039196,0.046166323,0.05151999,0.043874606,0.029654643,0.03612495,0.037936058,0.046075005,0.04784338,0.02715111,0.033635225,0.028663352,0.041735746,0.03827416,0.053268954,0.06689261,0.06129341,0.036621224,0.054286685,0.04005446,0.03154495,0.02700051,0.049395002,0.050022583
447.7428,0.050351053,0.05415453,0.06637097,0.034517016,0.06458917,0.037868455,0.059680637,0.058746252,0.058215674,0.056871604,0.056517508,0.038412195,0.039244596,0.048715264,0.05669372,0.042151548,0.060736038,0.057396095,0.03945952,0.0517281,0.040367495,0.042994197,0.050167542,0.050397366,0.04209212,0.05945651,0.029687274,0.044219475,0.04918003,0.03997715,0.035562765,0.04942132,0.04591711,0.04847197,0.03242287,0.048103265,0.041991144,0.05545403,0.055017132,0.052681882,0.04830492,0.051739853,0.071266755,0.07094732,0.048574224,0.047754698,0.04429128,0.052879564,0.056875248,0.04421524,0.04672829,0.04450129,0.054279577,0.03818255,0.051579397,0.053254243,0.053901378,0.05167572,0.04826283,0.037156608,0.04288059,0.03695968,0.040295828,0.046845134,0.04141256,0.033749685,0.049166936,0.04231078,0.03349667,0.052820515,0.049033523,0.05488662,0.03984859,0.060279652,0.03966738,0.031764317,0.03763722,0.0592947,0.04156739,0.040249106,0.035782475,0.08242119,0.038932182,0.04266022,0.06385112,0.0449633,0.06898108,0.07154253,0.05287735,0.048807077,0.046583116,0.04923985,0.057876967,0.05024702,0.039703555,0.05285543,0.054951053,0.05699829,0.05379935,0.055002637,0.05275987,0.03941239,0.059655692,0.04222845,0.06299476,0.051267073,0.062289644,0.05699448,0.04590292,0.059495453,0.05373936,0.042501234,0.039345652,0.06679401,0.038751483,0.06683907,0.049394574,0.0642042,0.050848298,0.047480773,0.03606225,0.045868408,0.036586244,0.049888622,0.049412087,0.045101978,0.04506069,0.03075018,0.045547526,0.027370682,0.07181544,0.07303918,0.06720516,0.061886493,0.06330026,0.05287675,0.050428454,0.07266583,0.035766363,0.038183764,0.043437324,0.03735174,0.03617802,0.046919458,0.04962785,0.036491722,0.046643883,0.04071785,0.047073357,0.06609546,0.06269435,0.045365375,0.05829848,0.04807826,0.053478997,0.04553881,0.03112225,0.037651457,0.039548367,0.04818865,0.04988179,0.028432379,0.03540253,0.029763076,0.0437419,0.039690845,0.054568138,0.06809161,0.061729636,0.038254946,0.057573684,0.04203407,0.03281561,0.028059168,0.051126722,0.051855445
455.17035,0.052391905,0.056439374,0.068679474,0.035958998,0.067824274,0.03926317,0.062491722,0.061679337,0.060243495,0.0592423,0.058768418,0.040131588,0.040884886,0.050496865,0.05918361,0.044216555,0.06339164,0.0600033,0.041053206,0.05381501,0.04191591,0.044831157,0.0520773,0.052462075,0.043867763,0.06212615,0.031289663,0.046362665,0.051326286,0.041909758,0.03740903,0.051594466,0.047738086,0.05046912,0.033750553,0.050305717,0.043830752,0.057902638,0.056986168,0.054815717,0.050137386,0.05404331,0.0748021,0.07395551,0.051050108,0.04984812,0.046344414,0.055193234,0.058980685,0.046307057,0.04882393,0.0466858,0.056172732,0.039549734,0.053439103,0.055236325,0.056360662,0.053484734,0.050329566,0.038753863,0.044674348,0.038498968,0.04186423,0.049211223,0.043194957,0.03515023,0.051161744,0.044069793,0.034918692,0.05500235,0.050956085,0.05700833,0.04138673,0.06262113,0.041441374,0.033096682,0.0391973,0.061940495,0.043182697,0.041871127,0.037275437,0.08654455,0.040532544,0.04430492,0.067057036,0.046762455,0.07207518,0.0754784,0.05476811,0.050804775,0.048582837,0.051170297,0.05866077,0.051960345,0.041334342,0.054672986,0.057320997,0.05853201,0.05596857,0.055905987,0.054491643,0.040929835,0.060262326,0.043950938,0.06559039,0.05341469,0.06486385,0.058959037,0.04764422,0.060975928,0.055949293,0.044052213,0.040914156,0.06893895,0.040378112,0.06902574,0.051300883,0.066189975,0.052953105,0.0494481,0.037325863,0.047800243,0.037976492,0.051490735,0.051148657,0.04702831,0.047082283,0.032297846,0.047508746,0.028714012,0.0731827,0.074267924,0.06914702,0.06372481,0.06524753,0.055023674,0.052609902,0.073524974,0.036953203,0.03952602,0.045227386,0.038930323,0.037775528,0.048831567,0.05182495,0.038080417,0.048446905,0.042220842,0.048772216,0.067758456,0.06504255,0.047116604,0.06044142,0.049851745,0.055368043,0.047202308,0.032474898,0.039124373,0.04104748,0.05023594,0.05189221,0.029626397,0.037061777,0.030800834,0.045605116,0.04102059,0.057116847,0.07107224,0.06318117,0.039801717,0.05995774,0.043968327,0.034037713,0.02903079,0.052799497,0.05361492
462.59888,0.05419139,0.058534734,0.069681816,0.03718483,0.06789041,0.04046295,0.062315736,0.06322498,0.06207406,0.06139125,0.060865905,0.041633405,0.042346187,0.052179966,0.06143118,0.04603792,0.06580161,0.061535377,0.042466052,0.055719707,0.043302756,0.046478648,0.053762786,0.054367386,0.045451887,0.06449016,0.03267475,0.04827105,0.05322389,0.043653693,0.03901454,0.05353498,0.04942118,0.052282516,0.0349462,0.052298985,0.045404572,0.06011391,0.058816515,0.056814738,0.05176008,0.056086097,0.075505756,0.07609603,0.05324407,0.05172787,0.0481691,0.057288583,0.060915302,0.04818125,0.05073398,0.048620064,0.057990417,0.040758144,0.055174682,0.05706787,0.058618803,0.055137925,0.0521523,0.040108074,0.046209503,0.039808843,0.04333748,0.05132965,0.044750858,0.03637021,0.053035032,0.04566444,0.03614714,0.057035197,0.05274115,0.059009776,0.042782083,0.06446371,0.043010283,0.03417518,0.040592488,0.06366726,0.044659343,0.04343962,0.03859876,0.09007444,0.041954357,0.045900382,0.06905271,0.048422482,0.07395178,0.077463776,0.05650771,0.052708134,0.05038329,0.05298739,0.059507445,0.053553116,0.042788643,0.056406517,0.059493184,0.058772918,0.056732215,0.056509607,0.05616127,0.042266518,0.061839007,0.04550081,0.06705889,0.05531817,0.06535919,0.060826626,0.049171448,0.061180603,0.057875022,0.045444697,0.042239033,0.070913956,0.041774273,0.0710291,0.052985977,0.0680208,0.054848135,0.051186938,0.038450353,0.049522255,0.03928232,0.05295599,0.052777335,0.04875048,0.048875555,0.033696506,0.04924533,0.029872732,0.07417814,0.07456127,0.0696403,0.06462717,0.06584039,0.05691645,0.054538913,0.075070314,0.038024157,0.040735465,0.046815615,0.040355537,0.039192174,0.05056521,0.05382755,0.039487053,0.050122283,0.043504085,0.050351482,0.069015004,0.06717598,0.04875768,0.062407013,0.051448278,0.057127327,0.048810396,0.033606514,0.040492784,0.042395074,0.052171722,0.053793333,0.030627199,0.038515233,0.031674266,0.047214787,0.042184595,0.056710426,0.072288774,0.063598834,0.041165855,0.061736163,0.045762386,0.03511503,0.029815242,0.05437338,0.055261888
